Company,Company_ID,Year,Total equity,Total assets,Receivables,BookLev(Debt_ratio),Mkt(Debt_ratio),Profitability ratio,Size (ln_total assets),Tangible_ratio (Fixed Asset ratio),Effective tax rate,Liquidity ratio,Asset_turn over,Change in Receivables,Current Asset,PPE,Total liabilities,Current Liabilities,Cashflow from operations,operating expenses,Revenue,Change in Revenue,Gross Profit,Operating Profit,Profit before tax,Net income,Auditor,Audit fee,Audit days,TAC,Rule of law,Financial sector rating,Institutional quality,Macroeconomic Mgt.,Accountability and corruption,Profit Tax
British America Tobacco,3,2019,9715211000.0,11561630000,1651946000,1.0,0.5433903463394777,0.4953184801796979,23.170957693710797,0.7965920030307145,0.2977966968524499,1.3411422186036854,0.48094067052147,-762272000.0,9198240000,9209902000,11561630000.0,6858512000,7635815000.0,4062019000,24039618000,3289483000.0,9448373000,5726689000,5533510000,3885649000,KPMG ,181750.0,50.0,-3750166000,3.0,3.5,3.5,4.5,3.0,30.1
CABL,4,2008,1035677000.0,2427884000,1037635000,0.5734240186104443,0.5734240186104443,0.4111720329307331,21.610285933055074,0.276470786907447,0.3092381707260642,1.6269159059281189,0.6178903584138903,1037635000.0,1513951000,671239000,1392207000.0,930565000,991141000.0,360446000,3929312000,3929312000.0,1347699000,998278000,669927000,462760000,KPMG ,49000.0,56.0,-528381000,3.0,3.5,3.5,4.5,3.0,30.1
CABL,4,2009,1404648000.0,2976596000,930076000,0.5281025708561055,0.5281025708561055,0.27692908275090067,21.81404620268334,0.43218797579517004,0.4376742825447721,1.3904380364255782,1.0585857551280096,-107559000.0,1394195000,1286449000,1571948000.0,1002702000,429397000.0,335004000,2811861000,-1117451000.0,1098148000,824306000,526444000,296033000,KPMG ,49000.0,56.0,-133364000,3.0,3.5,3.5,4.5,3.0,30.1
CABL,4,2010,1571903000.0,3400328000,1152783000,0.5377201846410111,0.5377201846410111,0.19475885855717448,21.947137734503773,0.400173747944316,0.3270033507321559,1.4967788289032775,1.131395594903621,222707000.0,1747853000,1360722000,1828425000.0,1167743000,356429000.0,227600000,3005428000,193567000.0,862706000,662244000,405583000,272956000,KPMG ,44070.0,81.0,-83473000,3.0,3.0,3.5,4.5,3.0,30.1
CABL,4,2011,1569302000.0,3605041000,1469484000,0.5646923294353656,0.5646923294353656,0.2145226642359962,22.00559898071158,0.35774960673124107,0.31305514076238294,1.259637687688154,0.8897390194373063,316701000.0,2027242000,1289702000,2035739000.0,1609385000,299916000.0,254354000,4051796000,1046368000.0,1026447000,773363000,401137000,275559000,KPMG ,40700.0,81.0,-24357000,3.5,4.0,3.5,3.5,4.0,17.6
CABL,4,2012,1869916000.0,4429876000,1753597000,0.5778852500611755,0.5778852500611755,0.17201000660063623,22.211637429641048,0.3588509023728881,0.3023449557345455,1.2253677869876947,1.3308242238418877,284113000.0,2540196000,1589665000,2559960000.0,2073007000,581274000.0,260768000,3328671000,-723125000.0,1004616000,761983000,520948000,363442000,KPMG ,54920.0,76.0,-217832000,3.5,4.0,3.5,3.5,4.0,17.6
CABL,4,2013,1919791000.0,4857086000,2297782000,0.6047442849478062,0.6047442849478062,0.14138250794818127,22.303704506556393,0.339748977061555,0.31289868148218497,1.3085265104836576,1.4083188212664264,544185000.0,2912640000,1650190000,2937295000.0,2225893000,-381350000.0,312761000,3448854000,120183000.0,995228000,686707000,442239000,303863000,KPMG ,71450.0,76.0,685213000,3.5,4.0,3.5,3.5,4.0,17.6
CABL,4,2014,1894042000.0,5874140000,2444494000,0.6775626730040483,0.6775626730040483,0.11595024973868515,22.493825503282878,0.4228353427054854,0.32826545037475663,1.119668070483531,1.5009234266231,146712000.0,3098631000,2483794000,3980098000.0,2767455000,470390000.0,325029000,3913684000,464830000.0,997619000,681108000,374910000,251840000,KPMG ,75070.0,88.0,-218550000,3.5,4.0,3.5,4.0,4.0,18.0
CABL,4,2015,1878691000.0,6285049000,1996226000,0.7010857035482142,0.7010857035482142,0.03409297206752088,22.561439475298723,0.3500228876497224,0.2980503722049048,1.032290175907394,2.0195037232803426,-448268000.0,2736657000,2199911000,4406358000.0,2651054000,144628000.0,395118000,3112175000,-801509000.0,560913000,214276000,-562056000,-394535000,KPMG ,77200.0,88.0,-539163000,3.5,3.5,3.5,3.5,4.0,18.0
CABL,4,2016,1549661000.0,5696024000,1498042000,0.7279398752533346,0.7279398752533346,0.0055561563645097,22.463034224530354,0.4290736836782991,0.26986384024632093,0.7067606149154385,1.7494017169617542,-498184000.0,1939296000,2444014000,4146363000.0,2743922000,601406000.0,367858000,3255984000,143809000.0,744398000,31648000,-450794000,-329141000,KPMG ,55800.0,118.0,-930547000,4.0,3.5,3.5,3.0,4.0,18.0
CABL,4,2017,1095253000.0,5246895000,1164797000,0.7912569243333438,0.7912569243333438,-0.05875798924887957,22.38090231001565,0.42706286289319684,0.28469377796108036,0.5361529195888822,2.5673169655242605,-333245000.0,1666945000,2240754000,4151642000.0,3109085000,-116188000.0,328813000,2043727000,-1212257000.0,642066000,-308297000,-635258000,-454404000,KPMG ,53520.0,165.0,-338216000,3.5,3.0,3.5,2.0,3.5,18.0
CABL,4,2018,969501000.0,5054241000,898903000,0.8081806941932528,0.8081806941932528,0.04650213553330757,22.343493529777497,0.46459953136385856,0.28637234439526577,0.34070763457356334,3.6476965180376992,-265894000.0,1164830000,2348198000,4084740000.0,3418855000,343602000.0,399656000,1385598000,-658129000.0,462472000,235033000,-560089000,-399695000,KPMG ,76020.0,211.0,-743297000,4.0,3.0,3.5,3.0,3.5,18.0
Car & General (Trading) Limited,5,2008,1128845000.0,1263578000,37462000,0.5805807002021245,0.39389375522831704,0.29814621653748324,20.957213216167673,0.10444230589643061,0.33189246342108125,0.9397984686793351,0.42156617429709387,37462000.0,521169000,131971000,733609000.0,554554000,-74204000.0,412338000,2997342000,2997342000.0,731975000,376731000,321565000,214840000,Delliote & Touche,28440.0,119.0,289044000,4.0,3.0,3.5,3.0,3.0,18.0
